"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RP5-857K21.49",2.93493852404255e-238,0.838439349782527,0.998,0.74,5.88455174070531e-235,"16","RP5-857K21.4"
"TBC1D93",1.2539505816617e-236,1.01512516882054,0.359,0.081,2.51417091623171e-233,"16","TBC1D9"
"CCR22",5.57864804770684e-236,1.38684574204008,0.295,0.059,1.11851893356522e-232,"16","CCR2"
"PELI25",1.15171405048874e-233,0.947399383049171,0.446,0.116,2.30918667122992e-230,"16","PELI2"
"TLN16",2.39890403296714e-232,0.85477277526118,0.863,0.359,4.80980258609911e-229,"16","TLN1"
"MT-ND19",5.52060183540233e-230,0.988427986710863,0.964,0.556,1.10688066799817e-226,"16","MT-ND1"
"LILRB42",8.3385202421342e-230,1.94742287283277,0.205,0.032,1.67187330854791e-226,"16","LILRB4"
"FAM26F",4.05595665745692e-229,2.44952684431034,0.143,0.016,8.13219309820113e-226,"16","FAM26F"
"IRF83",6.24463825993022e-227,1.04091848148965,0.345,0.078,1.25204997111601e-223,"16","IRF8"
"CDKN1A2",6.5221250309198e-223,1.61872935126922,0.247,0.045,1.30768606869942e-219,"16","CDKN1A"
"DDX217",2.31640220510332e-222,0.987280213884472,0.575,0.183,4.64438642123215e-219,"16","DDX21"
"NAMPTL2",3.98934080239496e-222,0.979394094310016,0.289,0.059,7.9986283088019e-219,"16","NAMPTL"
"CAP16",5.69031461748862e-221,0.928188252351231,0.828,0.338,1.14090808080647e-217,"16","CAP1"
"SSR34",3.33770334967248e-220,1.0429277407989,0.4,0.101,6.69209521609332e-217,"16","SSR3"
"HMOX12",2.94372874742926e-216,1.54193900711337,0.216,0.037,5.90217613859567e-213,"16","HMOX1"
"PSMB66",2.30821764351331e-212,1.11278938007042,0.378,0.095,4.6279763752442e-209,"16","PSMB6"
"CXCL16",3.94435097751477e-211,1.87083632858586,0.142,0.017,7.90842370991712e-208,"16","CXCL16"
"HDLBP3",8.98698963442884e-211,0.78975933862741,0.559,0.174,1.80189142170298e-207,"16","HDLBP"
"ENTPD12",2.85920937733502e-210,1.31464065162601,0.303,0.067,5.73271480155672e-207,"16","ENTPD1"
"MYL65",1.86866944565681e-207,0.871867555836678,0.874,0.391,3.7466822385419e-204,"16","MYL6"
"PID15",8.84500626224287e-206,0.946498734456805,0.496,0.15,1.7734237555797e-202,"16","PID1"
"PADI43",1.47263642274456e-205,1.41533878361973,0.253,0.05,2.95263602760285e-202,"16","PADI4"
"MT-CO19",1.60812788887462e-204,0.803548114829251,0.991,0.688,3.2242964171936e-201,"16","MT-CO1"
"TMSB107",1.20495387715161e-200,0.891393195690698,0.97,0.567,2.41593252368898e-197,"16","TMSB10"
"MT-CO29",4.39202817186893e-200,0.848292294348303,0.977,0.586,8.8060164845972e-197,"16","MT-CO2"
"NFE22",3.59286000453638e-197,1.58317906636714,0.195,0.033,7.20368430909545e-194,"16","NFE2"
"LAP33",9.70083508690299e-197,1.09651044460791,0.358,0.092,1.94501743492405e-193,"16","LAP3"
"EIF4G17",2.61641911105774e-196,0.892660603952477,0.504,0.156,5.24592031767077e-193,"16","EIF4G1"
"CCT6A6",8.87492576010587e-195,0.963812970056585,0.431,0.123,1.77942261490123e-191,"16","CCT6A"
"CDC42EP35",9.44740730388671e-190,0.93206914750126,0.496,0.156,1.89420516442929e-186,"16","CDC42EP3"
"TMED97",2.31126855267528e-187,1.04374420326564,0.373,0.1,4.63409344811393e-184,"16","TMED9"
"ATP5A17",2.62957095450169e-186,0.827737677309493,0.563,0.19,5.27228976377589e-183,"16","ATP5A1"
"HLA-DQB21",3.60486812720873e-183,1.81105243533561,0.124,0.015,7.22776059505351e-180,"16","HLA-DQB2"
"EIF4G27",2.78704868791052e-182,0.798093678755343,0.825,0.359,5.5880326192606e-179,"16","EIF4G2"
